icao24,callsign,origin_country,time_position_unix,longitude,latitude,baro_altitude_m,velocity_m_s,heading_deg,squawk,last_contact_unix
4d3c1a,VLG792,France,1758539669,2.467446,48.691417,7701.4,251.9,77.3,1704,1758539672
23c417,DLH1487,Netherlands,1758539572,2.328582,49.013815,1872.3,114.6,225.9,1506,1758539575
7131a3,AFR9121,United Kingdom,1758539950,2.281363,48.713472,1796.0,131.7,293.8,2480,1758539950
6030a1,TVF1597,Netherlands,1758539405,2.429239,48.898322,8161.4,169.3,191.4,7367,1758539407
e807c8,TVF4912,United Kingdom,1758539524,2.458033,48.957558,3400.0,184.9,189.1,3813,1758539527
257a95,RYR8388,Spain,1758539706,2.237737,48.800505,12152.5,154.3,346.3,1635,1758539708
b34a94,KLM9502,Spain,1758539652,2.204067,48.691182,3728.2,209.4,23.4,6989,1758539654
e42b06,EZY6321,Ireland,1758539338,2.301452,49.063885,4814.4,192.2,177.7,2787,1758539340
7ec75f,VLG6406,Spain,1758539868,2.208203,48.847642,7277.9,246.7,294.9,5507,1758539870
d4a1be,TVF6234,United Kingdom,1758539277,2.232822,48.727536,3245.9,116.7,174.6,5826,1758539278
905939,AFR2387,Spain,1758539731,2.367107,48.918317,4346.4,95.1,309.3,6059,1758539731
c8e5e3,VLG6537,Spain,1758539533,2.216238,48.929087,1090.5,83.5,75.2,2329,1758539533
1aeb30,RYR4,Netherlands,1758539652,2.232943,48.694644,4917.8,75.1,314.8,6030,1758539655
8127ed,TVF9868,Germany,1758539848,2.345953,48.700756,6498.5,265.6,172.9,3554,1758539848
3451ef,TVF4338,Spain,1758539853,2.470099,48.721033,593.3,260.2,190.2,2200,1758539853
989f36,RYR4279,Netherlands,1758539224,2.308345,48.723498,10103.6,176.5,280.5,3700,1758539225
63ea2e,DLH6565,Ireland,1758539373,2.461164,48.737964,6558.3,216.2,356.3,7472,1758539375
84b280,DLH9915,Germany,1758539517,2.33653,49.062289,12848.1,261.0,131.3,2806,1758539517
